순위,툴 이름,도메인,실제주소
132,Speak,speak.com,https://speak.com
133,Photoleap,lightricks.com,https://lightricks.com
134,Adobe Podcast,podcast.adobe.com,https://podcast.adobe.com
135,Devin,cognition.ai,https://www.devin.ai
136,Le Chat,chat.mistral.ai,https://chat.mistral.ai
137,Zoom AI,zoom.us,https://www.zoom.com/en/ai-companion/
138,Together AI,together.ai,https://www.together.ai
139,Voiceflow,voiceflow.com,https://www.voiceflow.com
140,Uizard,uizard.io,https://uizard.io
141,Slack AI,slack.com,https://slack.com/features/ai
142,Tabnine,tabnine.com,https://www.tabnine.com
143,DALL-E 3,openai.com,https://openai.com/dall-e-3
144,Napkin AI,napkin.ai,https://napkin.ai
145,Lalal.ai,lalal.ai,https://www.lalal.ai
146,Reflect,reflect.app,https://reflect.app
147,Flux,blackforestlabs.ai,https://blackforestlabs.ai
148,Soundraw,soundraw.io,https://soundraw.io
149,Soundraw,soundraw.io,https://soundraw.io
150,WRTN,wrtn.ai,https://wrtn.ai
151,Kittl,kittl.com,https://www.kittl.com
152,Resemble AI,resemble.ai,https://www.resemble.ai
153,Topaz Photo AI,topazlabs.com,https://topazlabs.com
154,Manus AI,manus.im,https://manus.im
155,Kapwing,kapwing.com,https://www.kapwing.com
156,Bolt.new,bolt.new,https://bolt.new
157,FaceApp,faceapp.com,https://www.faceapp.com
158,Lindy AI,lindy.ai,https://lindy.ai
159,Upscayl,upscayl.org,https://www.upscayl.org
160,Elicit,elicit.com,https://elicit.com
161,Fireflies.ai,fireflies.ai,https://fireflies.ai
162,Chroma,trychroma.com,https://www.trychroma.com
163,Windsurf,codeium.com,https://codeium.com/windsurf
164,LlamaIndex,llamaindex.ai,https://www.llamaindex.ai
165,Talkie AI,talkie-ai.com,https://www.talkie-ai.com
166,Cleanup.pictures,cleanup.pictures,https://cleanup.pictures
167,Hume AI,hume.ai,https://hume.ai
168,Remini,remini.ai,https://remini.ai
169,Speechmatics,speechmatics.com,https://www.speechmatics.com
170,Mubert,mubert.com,https://mubert.com
171,Relume,relume.io,https://www.relume.io
172,Kling AI,klingai.com,https://klingai.com
173,AIVA,aiva.ai,https://www.aiva.ai
174,AIVA,aiva.ai,https://www.aiva.ai
175,Voicemod,voicemod.net,https://www.voicemod.net
176,Pixelcut,pixelcut.ai,https://www.pixelcut.ai
177,Phind,phind.com,https://www.phind.com
178,Devin,devin.ai,https://www.devin.ai
179,Aider,aider.chat,https://aider.chat
180,Aider,aider.chat,https://aider.chat
181,Research Rabbit,researchrabbitapp.com,https://researchrabbitapp.com
182,Spline AI,spline.design,https://spline.design
183,Glean,glean.com,https://www.glean.com
184,Udio,udio.com,https://www.udio.com
185,Grok,grok.x.ai,https://x.ai
186,GPT4All,gpt4all.io,https://gpt4all.io
187,Kimi,kimi.moonshot.cn,https://kimi.moonshot.cn
188,Wombo Dream,wombo.ai,https://www.wombo.ai
189,v0,v0.dev,https://v0.dev
190,LM Studio,lmstudio.ai,https://lmstudio.ai
191,NightCafe,nightcafe.studio,https://nightcafe.studio
192,Reface,hey.reface.ai,https://hey.reface.ai
193,Tana,tana.inc,https://tana.inc
194,SeaArt AI,seaart.ai,https://www.seaart.ai
195,Hedra,hedra.com,https://hedra.com
196,Exa,exa.ai,https://exa.ai
197,Phi-4,azure.microsoft.com,https://azure.microsoft.com/en-us/products/phi-4
198,Open WebUI,openwebui.com,https://openwebui.com
199,CrewAI,crewai.com,https://www.crewai.com
200,Continue.dev,continue.dev,https://continue.dev
201,Playground AI,playground.com,https://playground.com
202,Wordware,wordware.ai,https://wordware.ai
203,Tensor.Art,tensor.art,https://tensor.art
204,Fathom,fathom.video,https://fathom.video
205,Lobe Chat,lobehub.com,https://lobehub.com
206,Reclaim.ai,reclaim.ai,https://reclaim.ai
207,Flowise,flowiseai.com,https://flowiseai.com
208,Hailuo AI,hailuoai.video,https://www.hailuo.ai
209,Hailuo AI,hailuoai.video,https://www.hailuo.ai
210,Liner,getliner.com,https://getliner.com
211,AnythingLLM,anythingllm.com,https://anythingllm.com
212,Blackbox AI,blackbox.ai,https://www.blackbox.ai
213,Retell AI,retellai.com,https://www.retellai.com
214,Replika,replika.com,https://replika.com
215,HyperCLOVA X,clova.ai,https://clova.ai/hyperclova
216,Tome,tome.app,https://tome.app
217,Flair AI,flair.ai,https://flair.ai
218,Sudowrite,sudowrite.com,https://sudowrite.com
219,Boomy,boomy.com,https://boomy.com
220,Haiper,haiper.ai,https://haiper.ai
221,Granola,granola.ai,https://granola.ai
222,Bland AI,bland.ai,https://www.bland.ai
223,Mem AI,mem.ai,https://mem.ai
224,Khroma,khroma.co,https://khroma.co
225,Avoma,avoma.com,https://www.avoma.com
226,EXAONE,lgresearch.ai,https://www.lgresearch.ai/exaone
227,tl;dv,tldv.io,https://tldv.io
228,Copilot Studio,copilotstudio.microsoft.com,https://copilotstudio.microsoft.com
229,Viggle,viggle.ai,https://viggle.ai
230,Amazon Nova,aws.amazon.com,https://aws.amazon.com
231,Anima AI,myanima.ai,https://myanima.ai
232,Pixverse,pixverse.ai,https://pixverse.ai
233,Height AI,height.app,https://height.app
234,Lex,lex.page,https://lex.page
235,Solar,console.upstage.ai,https://www.upstage.ai/solar
236,Adobe GenStudio,business.adobe.com,https://business.adobe.com
237,Visily,visily.ai,https://www.visily.ai
238,Magnific AI,magnific.ai,https://magnific.ai
239,NovelAI,novelai.net,https://novelai.net
240,Kuki AI,kuki.ai,https://www.kuki.ai
241,Coze,coze.com,https://coze.com
242,Meitu,meitu.com,https://meitu.com
243,InvokeAI,invoke.ai,https://invoke.ai
244,Devv.ai,devv.ai,https://devv.ai
245,Kindroid,kindroid.ai,https://kindroid.ai
246,InternLM,internlm.intern-ai.org.cn,https://internlm.intern-ai.org.cn
247,Adobe Podcast AI,podcast.adobe.com,https://podcast.adobe.com
248,Chai AI,chai.ml,https://www.chai-research.com
249,Wan AI,wanxiang.aliyun.com,https://wanxiang.aliyun.com
250,Clova Note,clovanote.naver.com,https://clovanote.naver.com
