순위,ID,오픈소스,툴이름,도메인,종합점수,구글(50%),네이버(25%),SNS(15%),깃허브(10%)
60,102,N,"Pi AI","pi.ai",38.17,50.8,7.08,73.36,0
61,133,N,"Speechify","speechify.com",38.17,50,7,76.11,0
62,206,N,"OpenRouter","openrouter.ai",38.06,50,7,75.39,0
63,166,N,"Semantic Scholar","semanticscholar.org",37.98,54.3,7.43,59.81,0
64,53,N,"Command R+","cohere.com",37.82,50.4,7.04,72.4,0
65,41,N,"Gamma","gamma.app",37.64,49,6.9,76.07,0
66,26,N,"Runway ML","runwayml.com",37.62,53.4,7.34,60.54,0
67,94,N,"Looka","looka.com",37.53,48.7,6.87,76.4,0
68,187,N,"Coda AI","coda.io",37.51,53.8,7.38,58.43,0
69,145,N,"Google Lens","lens.google",37.46,48.5,6.85,76.62,0
70,216,N,"NotebookLM","notebooklm.google.com",37.41,48.1,6.81,77.73,0
71,169,N,"Recraft AI","recraft.ai",37.36,48.5,6.85,75.99,0
72,171,N,"Clipdrop","clipdrop.co",37.28,49.5,6.95,71.94,0
73,23,N,"Replit AI","replit.com",37.27,52.8,7.28,60.3,0
74,239,N,"Pinecone","pinecone.io",37.07,49.1,6.91,71.94,0
75,179,N,"Veed.io","veed.io",36.96,50.7,7.07,65.6,0
76,146,N,"Microsoft Designer","designer.microsoft.com",36.94,51.9,7.19,61.28,0
77,116,N,"Starryai","starryai.com",36.92,48.1,6.81,74.45,0
78,142,N,"Photomath","photomath.com",36.86,47.1,6.71,77.53,0
79,32,N,"Suno AI","suno.com",36.81,50.1,7.01,66.75,0
80,109,N,"Lensa AI","prisma-ai.com",36.81,48.9,6.89,70.91,0
81,165,N,"SciSpace","typeset.io",36.74,47.1,6.71,76.77,0
82,8,N,"Character.AI","character.ai",36.64,51.2,7.12,61.71,0
83,81,N,"Kagi","kagi.com",36.64,52,7.2,58.92,0
84,226,N,"AssemblyAI","assemblyai.com",36.58,46.9,6.69,76.36,0
85,92,N,"Wordtune","wordtune.com",36.54,47.2,6.72,75.09,0
86,35,N,"Descript","descript.com",36.52,49.8,6.98,65.81,0
87,51,N,"Le Chat","chat.mistral.ai",36.37,46.9,6.69,75,0
88,91,N,"Rytr","rytr.me",36.29,47.4,6.74,72.68,0
89,31,N,"Synthesia","synthesia.io",36.26,51.3,7.13,58.84,0
90,122,N,"Deep Nostalgia","myheritage.com",36.21,51.6,7.16,57.44,0
91,123,N,"Captions","captions.ai",36.12,47.2,6.72,72.25,0
92,9,N,"Poe","poe.com",36.1,50.3,7.03,61.26,0
93,72,N,"Pictory","pictory.ai",35.91,48.1,6.81,67.75,0
94,88,N,"Taskade","taskade.com",35.85,49.7,6.97,61.71,0
95,65,N,"Lovable","lovable.dev",35.77,48.9,6.89,63.97,0
96,152,N,"Lovable","lovable.dev",35.77,48.9,6.89,63.97,0
97,37,N,"You.com","you.com",35.69,50.9,7.09,56.42,0
98,15,N,"Ideogram","ideogram.ai",35.64,47.5,6.75,68.04,0
99,93,N,"Framer AI","framer.com",35.52,50.3,7.03,57.39,0
100,180,N,"Kapwing","kapwing.com",35.52,45.9,6.59,72.82,0
101,148,N,"Fotor AI","fotor.com",35.5,50.4,7.04,56.93,0
102,13,N,"Adobe Firefly","firefly.adobe.com",35.37,46.9,6.69,68.33,0
103,25,N,"Sora","sora.com",35.33,46.4,6.64,69.8,0
104,80,N,"Consensus","consensus.app",35.28,47.4,6.74,65.94,0
105,121,N,"Photoleap","lightricks.com",35.28,47.2,6.72,66.7,0
106,164,N,"Consensus","consensus.app",35.28,47.4,6.74,65.94,0
107,178,N,"Opus Clip","opus.pro",35.28,48.9,6.89,60.74,0
108,128,N,"Voicemod","voicemod.net",35.27,45,6.5,74.27,0
109,44,N,"Beautiful.ai","beautiful.ai",35.25,44.8,6.48,74.84,0
110,14,N,"Leonardo AI","leonardo.ai",35.23,48,6.8,63.54,0
111,125,N,"Filmora AI","filmora.wondershare.com",35.21,48.2,6.82,62.7,0
112,66,N,"Cody","sourcegraph.com",35.1,46,6.6,69.64,0
113,28,N,"Pika Labs","pika.art",35,48.6,6.86,59.92,0
114,194,N,"Kittl","kittl.com",34.97,45.6,6.56,70.21,0
115,17,N,"Krea AI","krea.ai",34.92,44.7,6.47,72.99,0
116,21,N,"Windsurf","codeium.com",34.66,44.2,6.42,73.01,0
117,103,N,"Meta AI","meta.ai",34.66,46.6,6.66,64.63,0
118,140,N,"Speak","speak.com",34.6,45.2,6.52,69.12,0
119,24,N,"Tabnine","tabnine.com",34.58,45.5,6.55,67.98,0
120,69,N,"CapCut AI","capcut.com",34.4,48.4,6.84,56.58,0
121,124,N,"D-ID","d-id.com",34.36,46.6,6.66,62.62,0
122,34,N,"Udio","udio.com",34.35,44.6,6.46,69.56,0
123,182,N,"Murf AI","murf.ai",34.35,48.6,6.86,55.57,0
124,38,N,"Elicit","elicit.com",34.31,43.8,6.38,72.12,0
125,135,N,"Krisp","krisp.ai",34.31,45.8,6.58,65.07,0
126,67,N,"Devin","cognition.ai",34.27,46,6.25,64.75,0
127,113,N,"Prisma","prisma-ai.com",34.23,48.9,6.89,53.75,0
128,29,N,"HeyGen","heygen.com",34.22,47.2,6.72,59.58,0
129,130,N,"Play.ht","play.ht",34.22,48.2,6.82,56.13,0
130,110,N,"Photoroom","photoroom.com",34.1,48.6,6.86,53.93,0
131,99,N,"Spline AI","spline.design",34.07,44.5,6.45,68.03,0
132,16,N,"Flux","blackforestlabs.ai",34.02,44.3,6.43,68.39,0
133,77,N,"Adobe Podcast AI","podcast.adobe.com",34,45.1,6.51,65.49,0
134,136,N,"Superhuman","superhuman.com",33.88,48.3,6.83,53.45,0
135,78,N,"Lalal.ai","lalal.ai",33.86,44.3,6.43,67.36,0
136,131,N,"Podcastle","podcastle.ai",33.86,46.4,6.64,60,0
137,134,N,"Motion","usemotion.com",33.86,48.1,6.81,54.06,0
138,196,N,"Upscayl","upscayl.org",33.85,43.7,6.37,69.36,0
139,50,N,"Uizard","uizard.io",33.8,44.5,6.45,66.23,0
140,120,N,"FaceApp","faceapp.com",33.75,45.6,6.56,62.07,0
141,204,N,"Groq","groq.com",33.74,48.1,6.81,53.26,0
142,62,N,"Civitai","civitai.com",33.73,47.9,6.79,53.91,0
143,205,N,"Together AI","together.ai",33.64,45.7,6.57,61.01,0
144,217,N,"Artbreeder","artbreeder.com",33.57,47.5,6.75,54.2,0
145,75,N,"Soundraw","soundraw.io",33.54,44.6,6.46,64.14,0
146,184,N,"Soundraw","soundraw.io",33.54,44.6,6.46,64.14,0
147,225,N,"Deepgram","deepgram.com",33.54,47.4,6.74,54.35,0
148,96,N,"Relume","relume.io",33.52,43.9,6.39,66.5,0
149,5,N,"Grok","grok.x.ai",33.51,42.3,6.23,72.02,0
150,27,N,"Kling AI","klingai.com",33.49,44.5,6.45,64.2,0
151,192,N,"Napkin AI","napkin.ai",33.41,44.8,6.48,62.6,0
152,30,N,"Luma AI","lumalabs.ai",33.35,47.3,6.73,53.45,0
153,143,N,"Socratic","socratic.org",33.33,47.5,6.75,52.64,0
154,240,N,"Chroma","trychroma.com",33.31,43.8,6.38,65.41,0
155,155,N,"Continue.dev","continue.dev",33.27,42.7,6.27,69,0
156,115,N,"Wombo Dream","wombo.ai",33.22,44.1,6.41,63.78,0
157,210,N,"Jan.ai","jan.ai",33.15,47.2,6.72,52.44,0
158,231,N,"Botpress","botpress.com",33.15,45.7,6.57,57.69,0
159,189,N,"Tana","tana.inc",33.13,42.2,6.22,69.8,0
160,227,N,"Speechmatics","speechmatics.com",33.13,43.6,6.36,64.91,0
161,119,N,"Reface","hey.reface.ai",33.1,43.7,6.37,64.37,0
162,233,N,"Notta","notta.ai",33.04,45.4,6.54,58.02,0
163,212,N,"CrewAI","crewai.com",32.98,43.3,6.33,65,0
164,101,N,"Replika","replika.com",32.92,42,6.2,69.12,0
165,195,N,"Topaz Photo AI","topazlabs.com",32.86,43.8,6.38,62.42,0
166,202,N,"LM Studio","lmstudio.ai",32.85,43.8,6.38,62.38,0
167,149,N,"Woebot","woebothealth.com",32.74,45.8,6.58,54.66,0
168,246,N,"Manus AI","manus.im",32.58,44,6.4,59.84,0
169,76,N,"Mubert","mubert.com",32.57,44.5,6.45,58.06,0
170,151,N,"Devin","devin.ai",32.52,42.5,6.25,64.75,0
171,139,N,"Elsa Speak","elsaspeak.com",32.51,46,6.6,52.37,0
172,159,N,"WRTN","wrtn.ai",32.49,46.1,6.61,51.89,0
173,89,N,"Mem AI","mem.ai",32.47,41.7,6.17,67.17,0
174,144,N,"Liner","getliner.com",32.35,42.1,6.21,65,0
175,74,N,"AIVA","aiva.ai",32.27,42.7,6.27,62.34,0
176,183,N,"AIVA","aiva.ai",32.27,42.7,6.27,62.34,0
177,104,N,"Talkie AI","talkie-ai.com",32.25,44.8,6.48,54.86,0
178,20,N,"Bolt.new","bolt.new",32.2,45.6,6.56,51.73,0
179,112,N,"Facetune","facetuneapp.com",32.16,46,6.6,50.1,0
180,200,N,"Flowise","flowiseai.com",31.97,41.8,6.18,63.47,0
181,82,N,"Exa","exa.ai",31.79,43.8,6.38,55.32,0
182,230,N,"Voiceflow","voiceflow.com",31.75,44.3,6.43,53.29,0
183,55,N,"Kimi","kimi.moonshot.cn",31.72,44.5,6.45,52.41,0
184,129,N,"Resemble AI","resemble.ai",31.71,43.3,6.33,56.49,0
185,190,N,"Reflect","reflect.app",31.63,45.2,6.52,49.31,0
186,237,N,"Glean","glean.com",31.58,43.2,6.32,55.97,0
187,186,N,"Adobe Podcast","podcast.adobe.com",31.49,45.1,6.51,48.72,0
188,161,N,"EXAONE","lgresearch.ai",31.44,40.2,6.02,65.6,0
189,22,Y,"v0","v0.dev",31.33,43.8,6.38,52.21,0
190,137,N,"Lindy AI","lindy.ai",31.28,43,6.3,54.67,0
191,79,N,"Phind","phind.com",31.26,42.3,6.23,57,0
192,111,N,"Remini","remini.ai",31.25,44.4,6.44,49.62,0
193,228,N,"Retell AI","retellai.com",31.23,42,6.2,57.9,0
194,215,N,"LlamaIndex","llamaindex.ai",31.19,44.2,6.42,49.89,0
195,236,N,"Avoma","avoma.com",31.18,39,5.9,68.06,0
196,43,N,"Fireflies.ai","fireflies.ai",31.16,44.3,6.43,49.33,0
197,61,N,"Tensor.Art","tensor.art",31.16,40.5,6.05,62.66,0
198,60,N,"NightCafe","nightcafe.studio",31.04,43.3,6.33,52.04,0
199,209,N,"GPT4All","gpt4all.io",31.04,42.2,6.22,55.88,0
200,68,N,"Aider","aider.chat",31.02,42.7,6.27,53.99,0
201,156,N,"Aider","aider.chat",31.02,42.7,6.27,53.99,0
202,170,N,"Flair AI","flair.ai",30.84,42.3,6.23,54.24,0
203,114,N,"Pixelcut","pixelcut.ai",30.76,43.9,6.39,48.11,0
204,247,N,"Lobe Chat","lobehub.com",30.76,41.1,6.11,57.87,0
205,132,N,"Boomy","boomy.com",30.73,40.9,6.09,58.36,0
206,98,N,"Cleanup.pictures","cleanup.pictures",30.4,42.8,6.28,49.55,0
207,90,N,"Reclaim.ai","reclaim.ai",30.37,42.8,6.28,49.33,0
208,193,N,"Granola","granola.ai",30.33,39.4,5.94,60.95,0
209,95,N,"Khroma","khroma.co",30.3,39.7,5.97,59.7,0
210,54,N,"HyperCLOVA X","clova.ai",30.23,39.9,5.99,58.57,0
211,58,N,"Playground AI","playground.com",30.23,43.2,6.32,47.01,0
212,203,N,"Open WebUI","openwebui.com",30.22,42.8,6.28,48.33,0
213,167,N,"Research Rabbit","researchrabbitapp.com",30.09,42.3,6.23,49.19,0
214,59,N,"SeaArt AI","seaart.ai",30.06,42.8,6.28,47.28,0
215,234,N,"tl;dv","tldv.io",30.05,39.1,5.91,60.17,0
216,108,N,"Hume AI","hume.ai",29.97,42.8,6.28,46.68,0
217,211,N,"Blackbox AI","blackbox.ai",29.91,39.6,5.96,57.5,0
218,208,N,"AnythingLLM","anythingllm.com",29.87,41.4,6.14,50.91,0
219,87,N,"Tome","tome.app",29.83,41.6,6.16,49.93,0
220,235,N,"Fathom","fathom.video",29.81,40.4,6.04,54,0
221,126,N,"Pixverse","pixverse.ai",29.72,37.2,5.72,64.6,0
222,71,N,"Hailuo AI","hailuoai.video",29.36,41.5,6.15,47.13,0
223,176,N,"Hailuo AI","hailuoai.video",29.36,41.5,6.15,47.13,0
224,220,N,"Sudowrite","sudowrite.com",29.12,39.4,5.94,52.93,0
225,223,N,"Hedra","hedra.com",29.12,41,6.1,47.33,0
226,222,N,"Viggle","viggle.ai",29,37.8,5.78,57.71,0
227,248,N,"Wordware","wordware.ai",29,41.3,6.13,45.47,0
228,229,N,"Bland AI","bland.ai",28.97,39.7,5.97,50.83,0
229,221,N,"Lex","lex.page",28.63,36,5.6,61.53,0
230,243,N,"Height AI","height.app",28.44,37.8,5.78,53.97,0
231,127,N,"Haiper","haiper.ai",28.42,38.9,5.89,50.01,0
232,219,N,"NovelAI","novelai.net",28.12,36.5,5.65,56.38,0
233,241,N,"Copilot Studio","copilotstudio.microsoft.com",28.07,38.1,5.81,50.46,0
234,117,N,"Meitu","meitu.com",27.36,36.8,5.68,50.3,0
235,172,N,"Magnific AI","magnific.ai",27.31,35,5.5,56.26,0
236,100,N,"Visily","visily.ai",27.03,35.3,5.53,53.29,0
237,107,N,"Anima AI","myanima.ai",26.73,36.8,5.68,46.04,0
238,162,N,"Solar","console.upstage.ai",26.18,35.7,5.57,46.28,0
239,150,N,"Kuki AI","kuki.ai",25.64,35.3,5.53,44.05,0
240,232,N,"Coze","coze.com",25.62,35.5,5.55,43.21,0
241,163,N,"InternLM","internlm.intern-ai.org.cn",24.36,30.1,5.01,53.69,0
242,105,N,"Kindroid","kindroid.ai",23.83,30.9,5.09,47.37,0
243,106,N,"Chai AI","chai.ml",23.72,30.4,5.04,48.42,0
244,174,N,"InvokeAI","invoke.ai",23.34,33,5.3,36.8,0
245,177,N,"Wan AI","wanxiang.aliyun.com",22.92,26.9,4.69,55.32,0
246,238,N,"Devv.ai","devv.ai",22.7,32.1,5.21,35.66,0
247,191,N,"Clova Note","clovanote.naver.com",18.54,24.8,4.48,33.49,0
248,173,Y,"ComfyUI","github.com/comfyanonymous/ComfyUI",18.18,0,5,46.2,100
249,158,Y,"Cline","github.com/cline/cline",17.87,0,5,46,97.24
250,18,Y,"GitHub Copilot","github.com/features/copilot",8.96,0,5,51.38,0
