순위,ID,툴이름,도메인,종합점수,변동,구글(50%),네이버(30%),GitHub(10%),SNS(10%)
106,28,"Pika Labs","pika.art",46.64,-0.68,48.6,56.72,0,53.2
107,62,"Civitai","civitai.com",46.64,-1.59,47.9,55.91,0,59.19
108,14,"Leonardo AI","leonardo.ai",46.52,-1.99,48,56.02,0,57.1
109,25,"Sora","sora.com",46.52,0.41,46.4,54.15,0,70.72
110,216,"NotebookLM","notebooklm.google.com",46.51,-2.7,48.1,56.14,0,56.14
111,80,"Consensus","consensus.app",46.47,-0.09,47.4,55.32,0,61.74
112,103,"Meta AI","meta.ai",46.47,-0.12,46.6,54.39,0,68.51
113,164,"Consensus","consensus.app",46.47,-0.09,47.4,55.32,0,61.74
114,210,"Jan.ai","jan.ai",46.35,-1.48,47.2,55.09,0,62.23
115,134,"Motion","usemotion.com",46.26,-3.12,48.1,56.14,0,53.73
116,125,"Filmora AI","filmora.wondershare.com",46.22,-2.13,48.2,56.26,0,52.45
117,51,"Le Chat","chat.mistral.ai",46.19,-2.05,46.9,54.74,0,63.17
118,194,"Kittl","kittl.com",46.06,-0.15,45.6,53.22,0,72.91
119,135,"Krisp","krisp.ai",45.95,0.09,45.8,53.45,0,70.15
120,142,"Photomath","photomath.com",45.92,-0.42,47.1,54.97,0,58.79
121,165,"SciSpace","typeset.io",45.91,-1.28,47.1,54.97,0,58.7
122,226,"AssemblyAI","assemblyai.com",45.89,-0.61,46.9,54.74,0,60.14
123,24,"Tabnine","tabnine.com",45.82,-1.08,45.5,53.1,0,71.36
124,159,"WRTN","wrtn.ai",45.75,-1.36,46.1,53.8,0,65.62
125,120,"FaceApp","faceapp.com",45.74,1,45.6,53.22,0,69.77
126,123,"Captions","captions.ai",45.68,-1.88,47.2,55.09,0,55.5
127,121,"Photoleap","lightricks.com",45.51,-2.07,47.2,55.09,0,53.86
128,231,"Botpress","botpress.com",45.48,-1.5,45.7,53.34,0,66.29
129,124,"D-ID","d-id.com",45.35,-1.41,46.6,54.39,0,57.35
130,29,"HeyGen","heygen.com",45.27,-2.22,47.2,55.09,0,51.39
131,233,"Notta","notta.ai",45.21,0.12,45.4,52.99,0,66.12
132,192,"Napkin AI","napkin.ai",45.12,1.25,44.8,52.29,0,70.3
133,56,"Phi-4","azure.microsoft.com",45.08,27.96,30.9,72.13,0,79.89
134,131,"Podcastle","podcastle.ai",45.05,-2.18,46.4,54.15,0,56.1
135,140,"Speak","speak.com",44.85,0.35,45.2,52.75,0,64.3
136,149,"Woebot","woebothealth.com",44.83,-1.53,45.8,53.45,0,58.98
137,43,"Fireflies.ai","fireflies.ai",44.81,0.31,44.3,51.7,0,71.54
138,112,"Facetune","facetuneapp.com",44.7,-1.46,46,53.69,0,55.9
139,67,"Devin","cognition.ai",44.68,0.06,46,49.6,0,68
140,190,"Reflect","reflect.app",44.56,-0.75,45.2,52.75,0,61.4
141,50,"Uizard","uizard.io",44.53,-1,44.5,51.94,0,66.96
142,55,"Kimi","kimi.moonshot.cn",44.44,0.49,44.5,51.94,0,66.11
143,66,"Cody","sourcegraph.com",44.39,-1.95,46,53.69,0,52.87
144,78,"Lalal.ai","lalal.ai",44.39,0.97,44.3,51.7,0,67.26
145,180,"Kapwing","kapwing.com",44.27,-1.87,45.9,53.57,0,52.45
146,139,"Elsa Speak","elsaspeak.com",44.2,-2.44,46,53.69,0,50.9
147,227,"Speechmatics","speechmatics.com",44.17,0.52,43.6,50.89,0,71.02
148,111,"Remini","remini.ai",44.16,-1.67,44.4,51.82,0,64.13
149,21,"Windsurf","codeium.com",43.94,-1.54,44.2,51.59,0,63.66
150,230,"Voiceflow","voiceflow.com",43.9,-0.61,44.3,51.7,0,62.43
151,60,"NightCafe","nightcafe.studio",43.78,-0.07,43.3,50.54,0,69.64
152,75,"Soundraw","soundraw.io",43.74,-0.78,44.6,52.05,0,58.26
153,184,"Soundraw","soundraw.io",43.74,-0.78,44.6,52.05,0,58.26
154,186,"Adobe Podcast","podcast.adobe.com",43.73,-0.68,45.1,52.64,0,53.9
155,205,"Together AI","together.ai",43.69,-2.08,45.7,53.34,0,48.37
156,119,"Reface","hey.reface.ai",43.63,0.43,43.7,51,0,64.81
157,128,"Voicemod","voicemod.net",43.63,-2.12,45,52.52,0,53.74
158,20,"Bolt.new","bolt.new",43.59,-2.97,45.6,53.22,0,48.24
159,44,"Beautiful.ai","beautiful.ai",43.55,-2.78,44.8,52.29,0,54.62
160,212,"CrewAI","crewai.com",43.52,0.54,43.3,50.54,0,67.09
161,96,"Relume","relume.io",43.48,-0.44,43.9,51.24,0,61.61
162,246,"Manus AI","manus.im",43.45,-1.98,44,51.35,0,60.42
163,99,"Spline AI","spline.design",43.24,-1,44.5,51.94,0,54.04
164,196,"Upscayl","upscayl.org",43.23,0.19,43.7,51,0,60.77
165,129,"Resemble AI","resemble.ai",43.19,-0.66,43.3,50.54,0,63.78
166,34,"Udio","udio.com",43.18,-1.76,44.6,52.05,0,52.62
167,58,"Playground AI","playground.com",43.13,-0.38,43.2,50.42,0,64.05
168,27,"Kling AI","klingai.com",43.09,-1.84,44.5,51.94,0,52.58
169,215,"LlamaIndex","llamaindex.ai",43.07,-0.35,44.2,51.59,0,54.89
170,114,"Pixelcut","pixelcut.ai",43.02,-0.97,43.9,51.24,0,56.96
171,240,"Chroma","trychroma.com",43.02,-1,43.8,51.12,0,57.83
172,195,"Topaz Photo AI","topazlabs.com",42.95,-2.3,43.8,51.12,0,57.09
173,151,"Devin","devin.ai",42.93,0.06,42.5,49.6,0,68
174,17,"Krea AI","krea.ai",42.88,-3.04,44.7,52.17,0,48.74
175,104,"Talkie AI","talkie-ai.com",42.87,-1.37,44.8,52.29,0,47.85
176,5,"Grok","grok.x.ai",42.85,-0.38,42.3,49.37,0,68.85
177,16,"Flux","blackforestlabs.ai",42.75,-1.4,44.3,51.7,0,50.94
178,82,"Exa","exa.ai",42.71,-1.84,43.8,51.12,0,54.73
179,76,"Mubert","mubert.com",42.61,-3.07,44.5,51.94,0,47.75
180,228,"Retell AI","retellai.com",42.59,1.36,42,49.02,0,68.82
181,98,"Cleanup.pictures","cleanup.pictures",42.53,-1.22,42.8,49.95,0,61.42
182,170,"Flair AI","flair.ai",42.44,0.24,42.3,49.37,0,64.78
183,38,"Elicit","elicit.com",42.37,-2.73,43.8,51.12,0,51.31
184,203,"Open WebUI","openwebui.com",42.28,-1.3,42.8,49.95,0,58.91
185,202,"LM Studio","lmstudio.ai",42.25,-1.85,43.8,51.12,0,50.1
186,115,"Wombo Dream","wombo.ai",42.24,-3,44.1,51.47,0,47.51
187,137,"Lindy AI","lindy.ai",42.2,-2.38,43,50.19,0,56.41
188,22,"v0","v0.dev",42.19,-3.02,43.8,51.12,0,49.54
189,90,"Reclaim.ai","reclaim.ai",42.09,-1.56,42.8,49.95,0,57.05
190,248,"Wordware","wordware.ai",42,1.8,41.3,48.2,0,68.88
191,208,"AnythingLLM","anythingllm.com",41.83,-0.28,41.4,48.32,0,66.31
192,189,"Tana","tana.inc",41.67,-0.39,42.2,49.25,0,57.96
193,59,"SeaArt AI","seaart.ai",41.62,-1.86,42.8,49.95,0,52.32
194,209,"GPT4All","gpt4all.io",41.62,-2.16,42.2,49.25,0,57.4
195,200,"Flowise","flowiseai.com",41.51,-1.79,41.8,48.79,0,59.73
196,68,"Aider","aider.chat",41.47,-1.67,42.7,49.84,0,51.71
197,156,"Aider","aider.chat",41.47,-1.67,42.7,49.84,0,51.71
198,89,"Mem AI","mem.ai",41.44,0.57,41.7,48.67,0,59.88
199,87,"Tome","tome.app",41.4,-0.36,41.6,48.55,0,60.38
200,74,"AIVA","aiva.ai",41.37,-0.5,42.7,49.84,0,50.68
201,183,"AIVA","aiva.ai",41.37,-0.5,42.7,49.84,0,50.68
202,167,"Research Rabbit","researchrabbitapp.com",41.33,-2.21,42.3,49.37,0,53.66
203,237,"Glean","glean.com",41.25,-1.7,43.2,50.42,0,45.2
204,61,"Tensor.Art","tensor.art",41.2,0.96,40.5,47.27,0,67.71
205,223,"Hedra","hedra.com",41.05,-0.32,41,47.85,0,61.91
206,242,"Adobe GenStudio","business.adobe.com",41.04,13.86,27.6,64.43,0,79.12
207,108,"Hume AI","hume.ai",40.91,-2.12,42.8,49.95,0,45.2
208,155,"Continue.dev","continue.dev",40.89,-3.15,42.7,49.84,0,45.92
209,79,"Phind","phind.com",40.64,-1.23,42.3,49.37,0,46.82
210,101,"Replika","replika.com",40.5,-2.03,42,49.02,0,47.94
211,144,"Liner","getliner.com",40.31,-1.47,42.1,49.14,0,45.22
212,161,"EXAONE","lgresearch.ai",39.95,0.19,40.2,46.92,0,57.7
213,71,"Hailuo AI","hailuoai.video",39.89,-1.77,41.5,48.44,0,46.06
214,176,"Hailuo AI","hailuoai.video",39.89,-1.77,41.5,48.44,0,46.06
215,247,"Lobe Chat","lobehub.com",39.69,-1.73,41.1,47.97,0,47.44
216,132,"Boomy","boomy.com",39.39,-1.82,40.9,47.74,0,46.23
217,229,"Bland AI","bland.ai",39.37,-1.11,39.7,46.34,0,56.13
218,235,"Fathom","fathom.video",39.3,-2.76,40.4,47.15,0,49.6
219,211,"Blackbox AI","blackbox.ai",38.85,-0.92,39.6,46.22,0,51.83
220,54,"HyperCLOVA X","clova.ai",38.69,-1.76,39.9,46.57,0,47.65
221,234,"tl;dv","tldv.io",38.57,0.08,39.1,45.63,0,53.34
222,127,"Haiper","haiper.ai",38.45,-1.22,38.9,45.4,0,53.82
223,220,"Sudowrite","sudowrite.com",38.23,-1.53,39.4,45.99,0,47.35
224,95,"Khroma","khroma.co",38.19,-0.96,39.7,46.34,0,44.41
225,193,"Granola","granola.ai",38.15,-2.83,39.4,45.99,0,46.52
226,236,"Avoma","avoma.com",37.63,-1.08,39,45.52,0,44.73
227,243,"Height AI","height.app",37.5,-1.04,37.8,44.12,0,53.66
228,241,"Copilot Studio","copilotstudio.microsoft.com",37.01,-2.05,38.1,44.47,0,46.23
229,222,"Viggle","viggle.ai",36.69,-2.49,37.8,44.12,0,45.5
230,232,"Coze","coze.com",36.42,1.44,35.5,41.43,0,62.44
231,126,"Pixverse","pixverse.ai",36.39,-1.96,37.2,43.42,0,47.65
232,117,"Meitu","meitu.com",36.13,-0.62,36.8,42.95,0,48.43
233,150,"Kuki AI","kuki.ai",36.07,0.05,35.3,41.2,0,60.63
234,221,"Lex","lex.page",35.98,-1.52,36,42.02,0,53.77
235,100,"Visily","visily.ai",35.69,0.09,35.3,41.2,0,56.82
236,107,"Anima AI","myanima.ai",35.25,-1.79,36.8,42.95,0,39.6
237,172,"Magnific AI","magnific.ai",35.07,-1.69,35,40.85,0,53.16
238,219,"NovelAI","novelai.net",34.89,-2.32,36.5,42.6,0,38.61
239,162,"Solar","console.upstage.ai",34.56,-1.65,35.7,41.67,0,42.14
240,238,"Devv.ai","devv.ai",32.96,-0.07,32.1,37.46,0,56.71
241,174,"InvokeAI","invoke.ai",32.58,0.23,33,38.52,0,45.25
242,77,"Adobe Podcast AI","podcast.adobe.com",32.23,9.18,22.55,52.64,0,51.67
243,163,"InternLM","internlm.intern-ai.org.cn",31.25,-0.57,30.1,35.13,0,56.65
244,105,"Kindroid","kindroid.ai",30.16,-0.11,30.9,36.06,0,38.9
245,106,"Chai AI","chai.ml",29.21,-1.99,30.4,35.48,0,33.68
246,177,"Wan AI","wanxiang.aliyun.com",27.57,-0.99,26.9,31.4,0,46.96
247,173,"ComfyUI","github.com/comfyanonymous/ComfyUI",25.77,0.04,0,35.01,100,52.62
248,191,"Clova Note","clovanote.naver.com",25.76,-0.42,24.8,28.94,0,46.73
249,158,"Cline","github.com/cline/cline",23.57,-2.06,0,35.01,97.24,33.47
250,18,"GitHub Copilot","github.com/features/copilot",15.28,-0.7,0,35.01,0,47.77
